STATION,NAME,DATE,AWND,TAVG,TMAX,TMIN,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,"PROVIDENCE, RI US",2005-01-01,8.95,44,53,35,25.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-02,9.4,36,44,28,14.1,,,,,,,,,,,,,,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-03,6.93,49,53,44,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-04,6.93,42,45,39,16.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-05,7.83,36,43,28,17,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-06,8.72,30,35,25,15,1,,,1,,1,,,,,,1,1,1,1,1,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-07,8.72,33,37,28,23.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-08,6.04,32,34,29,17,1,,,1,,,,,,,,1,1,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-09,6.04,31,34,28,15,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-10,6.71,37,43,31,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-11,5.37,34,38,30,10.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-12,7.61,33,37,29,10.1,1,,,,,1,,,,,,1,1,1,1,1,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-13,6.49,46,59,33,30,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-14,17.9,48,62,33,40,1,,,1,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-15,6.71,29,33,25,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-16,13.42,27,30,23,25.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-17,13.87,22,29,15,25.1,1,,,,,,,,1,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-18,14.09,11,15,6,23,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-19,3.36,16,29,3,10.1,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-01-20,9.4,24,29,18,21,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-21,12.08,11,18,3,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-22,8.72,13,27,-2,23,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-01-23,26.84,17,28,5,45,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-01-24,11.41,14,23,4,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-25,8.72,21,27,15,19.9,,,,,,,,,,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-26,13.2,23,29,17,25.9,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-01-27,15.43,12,18,6,28,,,,,,,,,,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-01-28,8.95,12,22,2,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-29,4.25,19,36,2,10.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-30,8.72,32,39,24,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-01-31,11.41,24,31,16,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-01,2.01,23,36,9,6,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-02,8.05,25,38,11,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-03,9.62,30,36,23,15,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-04,13.2,34,36,31,23,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-05,10.51,41,50,31,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-06,11.18,37,45,29,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-07,3.58,40,52,28,8.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-08,4.03,34,43,25,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-09,4.7,44,53,34,10.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-10,8.5,36,41,30,21,1,1,,,,,,,,,,1,1,,1,,1,,,
